orgao_sup;setor;chave;id;cargo;funcao;nivel;instr;area;inst_ensino;inst_origem;car_pub;partido;cargo_ele;lid_part;exp_adm;exp_car;exp_mer;exp_soc;UF*;partido_pr;partido_ministro;indicacao;entrada;saida;perm
mapa;sda;Agro-SDA-DIPOA-CGPE8;MGOA;Coordenador-Geral de Programas Especiais;DAS;4;superior;veterinaria;NA;NA;SE_INT;PSD;0;0;1;1;NA;NA;NA;PT;MDB;Rousseff;08/06/2015;17/12/2015;6,4
mapa;sda;Agro-SDA-CGR1;FCPA;Coordenador-Geral de Regulamentação;DAS;4;doutorado;agronomia;UFV;publica;SE_INT;NA;0;0;1;3;0;NA;DF;PT;MDB;Rousseff;28/07/2015;06/05/2016;9,4
mapa;sda;Agro-SDA-CGAAF;HEMB;Coordenação-Geral de Articulação, Auditoria e Fiscalização;DAS;4;superior;NA;NA;NA;SE_INT;NA;0;0;1;3;NA;NA;DF;PT;MDB;Rousseff;26/08/2015;03/05/2016;8,4
mapa;sda;Agro-SDA-CGPS1;DEMC;Coordenador-Geral de Programas Sanitários;DAS;4;superior;veterinaria;NA;NA;SE_INT;NA;0;0;1;5;NA;NA;DF;PT;MDB;Rousseff;28/07/2015;19/10/2016;15
mapa;sda;Agro-SDA-S5;LEPR;Secretário de Defesa Agropecuária;DAS;6;mestrado;agronomia;UnB;publica;SE_INT;NA;0;0;1;5;0;NA;DF;PT;MDB;Rousseff;12/01/2016;04/01/2019;36,3
mapa;sda;Agro-SDA-CGAI2;DLGC;Coordenador-Geral de Articulação Institucional;DAS;4;superior;veterinaria;NA;NA;SVE;PSB;0;0;1;3;1;5;DF;MDB;PP;Temer;08/06/2016;09/03/2017;9,1
mapa;sda;Agro-SDA-CGAI3;FLMB;Coordenador-Geral de Articulação Institucional;DAS;5;mestrado;publicidade;UFF;publica;SVE;NA;0;0;0;0;1;NA;NA;MDB;PP;Temer;18/09/2017;12/02/2019;17,1
mapa;sda;Agro-SDA-CGOCMA1;PVVE;Coordenador-Geral de Operações, Controle, Monitoramento e Avaliação ;DAS;4;doutorado;fisica;UnB;publica;VINC;NA;0;0;1;3;0;1;DF;MDB;PP;Temer;08/06/2016;01/03/2019;33,2
mapa;sda;Agro-SDA-CGSVA5;FAPM;Coordenador-Geral do Sistema de Vigilância Agropecuária;DAS_FCPE;4;especializacao;agronomia;UFPR;publica;SE_INT;NA;0;0;1;1;0;NA;PR;MDB;PP;Temer;08/08/2016;28/11/2018;28,1
mapa;sda;Agro-SDA-CGLA2;ROBN;Coordenador-Geral de Laboratórios Agropecuários;DAS_FCPE;4;mestrado;agronomia;UnB;publica;SE_INT;NA;0;0;1;3;0;NA;DF;MDB;MDB;Rousseff;07/02/2016;NA;NA
mapa;sda;Agro-SDA-CGIE1;JOCJ;Coordenador-Geral de Inteligência Estratégica;DAS;4;doutorado;veterinaria;UFV;publica;SE_INT;NA;0;0;1;5;1;1;DF;MDB;PP;Temer;08/06/2016;24/01/2019;32
mapa;sda;Agro-SDA-DFIA2;ACPS;Diretor de Fiscalização de Insumos Agrícolas;DAS;5;mestrado;agronomia;UFV;publica;SE_INT;NA;0;0;1;5;1;NA;DF;MDB;MDB;Rousseff;19/01/2016;25/01/2019;36,7
mapa;sda;Agro-SDA-CGAA3;JSBR;Coordenador-Geral de Agroquímicos e Afins;DAS_FCPE;4;NA;NA;NA;NA;SE_INT;MDB;0;0;1;3;1;NA;DF;MDB;PP;Temer;19/10/2016;24/01/2017;3,2
mapa;sda;Agro-SDA-CGAA4;CRVE;Coordenador-Geral de Agroquímicos e Afins;FCPE;4;especializacao;agronomia;USP;publica;SE_INT;NA;0;0;1;1;0;NA;DF;MDB;PP;Temer;27/01/2017;04/02/2020;36,8
mapa;sda;Agro-SDA-CGCA1;ROFI;Coordenador-Geral de Controle e Avaliação;FCPE;4;especializacao;veterinaria;UMESP;privada;SE_INT;PSDB;0;0;1;3;1;1;DF;MDB;PP;Temer;03/05/2016;26/02/2018;22,1
mapa;sda;Agro-SDA-CGCA2;ALPV;Coordenador-Geral de Controle e Avaliação;FCPE;4;superior;veterinaria;UFRRJ;publica;SE_INT;NA;0;0;1;3;1;NA;DF;MDB;DEM;Bolsonaro;29/05/2018;25/01/2019;8
mapa;sda;Agro-SDA-DFIP6;JGGM;Diretor de Fiscalização de Insumos Pecuários;DAS;5;superior;NA;NA;NA;SE_INT;NA;0;0;1;3;NA;NA;DF;MDB;PP;Temer;10/10/2016;03/10/2018;24,1
mapa;sda;Agro-SDA-DIPOA7;ALPP;Diretor de Inspeção de Produtos de Origem Animal ;DAS;5;superior;veterinaria;UFRGS;publica;SE_INT;NA;0;0;1;5;NA;NA;DF;MDB;PP;Temer;06/06/2018;03/01/2019;7
mapa;sda;Agro-SDA-DIPOA-CGPE9;ALCS;Coordenador-Geral de Programas Especiais;DAS;4;mestrado;veterinaria;UFBA;publica;SE_INT;NA;NA;NA;1;0;0;NA;DF;PT;MDB;Rousseff;26/02/2016;03/05/2016;2,2
mapa;sda;Agro-SDA-CGI5;ALCS;Coordenador-Geral de Inspeção;FCPE;4;mestrado;veterinaria;UFBA;publica;SE_INT;NA;NA;NA;1;3;0;NA;DF;PT;MDB;Rousseff;03/05/2016;18/07/2018;26,9
mapa;sda;Agro-SDA-CGI6;GACJ;Coordenador-Geral de Inspeção;FCPE;4;especializacao;veterinaria;UFRPE;publica;SE_INT;NA;0;0;1;5;NA;NA;DF;MDB;PP;Temer;18/07/2018;13/12/2018;4,9
mapa;sda;Agro-SDA-DIPOA-CGPE10;CVGC;Coordenador-Geral de Programas Especiais;FCPE;4;doutorado;veterinaria;UFPR;publica;SE_INT;PP;0;0;1;3;0;NA;;PT;MDB;Rousseff;03/05/2016;18/07/2018;26,9
mapa;sda;Agro-SDA-CGQV5;FCPA;Coordenador-Geral de Qualidade Vegetal;DAS_FCPE;4;doutorado;agronomia;UFV;publica;SE_INT;NA;0;0;1;3;0;NA;DF;MDB;PP;Temer;06/05/2016;12/12/2018;31,7
mapa;sda;Agro-SDA-CGVB4;HEMB;Coordenador-Geral de Vinhos e Bebidas;DAS_FCPE;4;superior;NA;NA;NA;SE_INT;NA;0;0;1;3;NA;NA;DF;MDB;PP;Temer;03/05/2016;25/01/2019;33,2
mapa;sda;Agro-SDA-DSV3;MVSC;Diretor de Sanidade Vegetal;DAS;5;mestrado;agronomia;UnB;publica;SE_INT;NA;0;0;1;3;0;NA;DF;PT;MDB;Rousseff;16/03/2016;18/12/2018;33,6
mapa;sda;Agro-SDA-CGPP3;PAPR;Coordenador-Geral de Proteção de Plantas;DAS_FCPE;4;mestrado;agronomia;UFV;publica;SE_INT;NA;0;0;1;1;0;NA;DF;MDB;PP;Temer;07/04/2016;25/01/2019;34,1
mapa;sda;Agro-SDA-CGPAZ1;ROCT;Coordenador-Geral de Planejamento e Avaliação Zoossanitária;DAS;4;especializacao;veterinaria;UFV;publica;SE_INT;PMN;0;0;1;3;1;1;DF;PT;PP;Rousseff;03/05/2016;NA;NA
mapa;sda;Agro-SDA-CGSA1;DEMC;Coordenador-Geral de Sanidade Animal;DAS_FCPE;4;superior;veterinaria;NA;NA;SE_INT;NA;0;0;1;5;NA;NA;DF;MDB;PP;Temer;19/10/2016;01/11/2016;0,4
mapa;sda;Agro-SDA-S6;JGTL;Secretário de Defesa Agropecuária;DAS;6;superior;agronomia;UFV;publica;SE_INT;PSB;0;0;1;5;0;NA;DF;PSL;DEM;Bolsonaro;04/01/2019;NA;NA
mapa;sda;Agro-SDA-SA1;FAPM;Secretário Adjunto;DAS;5;especializacao;agronomia;UFPR;publica;SE_INT;NA;0;0;1;3;0;NA;DF;PSL;DEM;Bolsonaro;19/02/2019;07/02/2020;11,8
mapa;sda;Agro-SDA-SA2;MREC;Secretário Adjunto;DAS_FCPE;5;mestrado;veterinaria;UFMG;publica;SE_INT;NA;0;0;1;5;0;NA;DF;PSL;DEM;Bolsonaro;06/02/2020;;
mapa;sda;Agro-SDA-DSVIA1;CAGL;Diretor de Sanidade Vegetal e Insumos Agrícolas;DAS_FCPE;5;mestrado;agronomia;UFSCAR;publica;SE_INT;NA;0;0;1;3;0;NA;DF;PSL;DEM;Bolsonaro;24/01/2019;NA;NA
mapa;sda;Agro-SDA-CGPP4;GGMC;Coordenador-Geral de Proteção de Plantas;FCPE;4;especializacao;agronomia;UnB;publica;SE_INT;NA;0;0;1;1;0;NA;DF;PSL;DEM;Bolsonaro;25/01/2019;NA;NA
mapa;sda;Agro-SDA-CGFCFI1;ECSO;Coordenador-Geral de Fiscalização e Certificação Fitossanitária Internacional;FCPE;4;especializacao;agronomia;UFMT;publica;SE_INT;NA;0;0;1;3;1;NA;DF;PSL;DEM;Bolsonaro;21/03/2019;NA;NA
mapa;sda;Agro-SDA-CGSM1;VAFC;Coordenador-Geral de Sementes e Mudas;FCPE;4;mestrado;agronomia;USP;publica;SE_INT;NA;0;0;1;3;0;NA;DF;PSL;DEM;Bolsonaro;07/02/2019;NA;NA
mapa;sda;Agro-SDA-CGAA5;BRCB;Coordenador-Geral de Agrotóxicos e Afins;FCPE;4;especializacao;agronomia;UFG;publica;SE_INT;NA;0;0;1;1;1;1;DF;PSL;DEM;Bolsonaro;04/02/2020;23/12/2021;22,9
